method,path,tag,handler,file,line
POST,/api/v1/readiness/diagnostic/sessions/{session_id}/next-action/click,readiness-diagnostic,post_next_action_click,backend/app/api/v1/routes/readiness.py,254
POST,/api/v1/readiness/diagnostic/sessions/{session_id}/turn,readiness-diagnostic,post_turn,backend/app/api/v1/routes/readiness.py,128
GET,/api/v1/readiness/events,readiness-workspace-events,get_events,backend/app/api/v1/routes/readiness_events.py,62
POST,/api/v1/readiness/events,readiness-workspace-events,post_events,backend/app/api/v1/routes/readiness_events.py,39
GET,/api/v1/readiness/events/summary,readiness-workspace-events,get_event_summary,backend/app/api/v1/routes/readiness_events.py,76
POST,/api/v1/readiness/jd/decode,readiness-jd-decoder,post_decode_jd,backend/app/api/v1/routes/jd_decoder.py,48
GET,/api/v1/readiness/jd/{jd_hash},readiness-jd-decoder,get_jd_analysis,backend/app/api/v1/routes/jd_decoder.py,80
GET,/api/v1/readiness/kit,application-kit,list_kits,backend/app/api/v1/routes/application_kit.py,99
POST,/api/v1/readiness/kit,application-kit,create_kit,backend/app/api/v1/routes/application_kit.py,82
DELETE,/api/v1/readiness/kit/{kit_id},application-kit,delete_kit,backend/app/api/v1/routes/application_kit.py,149
GET,/api/v1/readiness/kit/{kit_id},application-kit,get_kit,backend/app/api/v1/routes/application_kit.py,109
GET,/api/v1/readiness/kit/{kit_id}/download,application-kit,download_kit,backend/app/api/v1/routes/application_kit.py,124
GET,/api/v1/receipts/autopsy,receipts,list_autopsies,backend/app/api/v1/routes/portfolio_autopsy.py,132
POST,/api/v1/receipts/autopsy,receipts,create_autopsy,backend/app/api/v1/routes/portfolio_autopsy.py,78
GET,/api/v1/receipts/autopsy/{autopsy_id},receipts,get_autopsy,backend/app/api/v1/routes/portfolio_autopsy.py,142
GET,/api/v1/receipts/me,receipts,list_my_receipts,backend/app/api/v1/routes/receipts.py,45
GET,/api/v1/receipts/me/gaps,receipts,list_my_gaps,backend/app/api/v1/routes/receipts.py,68
GET,/api/v1/receipts/me/week,receipts,get_current_week_receipt,backend/app/api/v1/routes/receipts.py,92
POST,/api/v1/reflections/me,reflections,upsert_my_reflection,backend/app/api/v1/routes/reflections.py,49
GET,/api/v1/reflections/me/recent,reflections,list_my_recent_reflections,backend/app/api/v1/routes/reflections.py,34
GET,/api/v1/reflections/me/today,reflections,get_my_reflection_today,backend/app/api/v1/routes/reflections.py,18
POST,/api/v1/resources/{resource_id}/open,resources,open_resource,backend/app/api/v1/routes/resources.py,126
